x y velocity
7.823730217370629125e-01 3.699714285189462659e-01 8.923057408180841144e-01
7.714563281630606451e-01 3.900858392972036404e-01 1.743150031282154622e-01
7.622085049541752477e-01 3.800856379104187721e-01 5.160369286928905286e-01
7.725625151318130657e-01 3.699968185401495968e-01 9.095237752841629497e-01
7.818992051486526318e-01 3.800395843753130443e-01 4.898262504003597084e-01
7.720532502257881902e-01 3.800597416217648683e-01 5.012004310097787352e-01
7.615688515854711627e-01 3.901033605321646558e-01 1.816236637806789567e-01
7.417899085788118851e-01 3.901495258188386606e-01 2.060307414438505291e-01
7.400000000016515589e-01 4.100000000000504907e-01 -1.067120918270688529e-02
7.600000000014526247e-01 4.100000000000066369e-01 -1.506042940956581720e-02
7.516807671306985350e-01 3.901244689194084403e-01 1.919830207769782360e-01
7.409540663578730868e-01 4.000996523097021806e-01 1.578134513018705082e-02
7.500000000001136868e-01 4.100000000000034728e-01 -1.430316949621135252e-02
7.608329533713092951e-01 4.000774859114977211e-01 2.114140337124369509e-02
7.508941350018241145e-01 4.000878450025322497e-01 1.693932278479634221e-02
8.803730718655977672e-01 2.334925992125688188e-01 1.825748306770775820e+00
9.002616869755024620e-01 2.337437949322206665e-01 1.529347497583781523e+00
9.005404177107014796e-01 2.515355312458079085e-01 2.245663828523793093e+00
8.807141793901167581e-01 2.513043471052987532e-01 2.532232347171276210e+00
8.903148041976887139e-01 2.336199745950841844e-01 1.655069573075910849e+00
9.004059972786480071e-01 2.426337750191226439e-01 1.840600745941488370e+00
8.906234770069642037e-01 2.514214616316576834e-01 2.394176266546488296e+00
8.805497333411796967e-01 2.423916426787481593e-01 2.197382485100487504e+00
8.904746426934490033e-01 2.425143675492484607e-01 2.011926955539236062e+00
8.809963485039271625e-01 2.691658604936398302e-01 2.857385355649776137e+00
8.612620541816442543e-01 2.689558673040445269e-01 2.886589633430745927e+00
8.609201898125969921e-01 2.510652563964201334e-01 2.742377527342673815e+00
8.807141793901167581e-01 2.513043471052987532e-01 2.532232347171276210e+00
8.711238867056524393e-01 2.690609796299392453e-01 2.873684818647370687e+00
8.611015716356488214e-01 2.600042373593415834e-01 2.853741042276539908e+00
8.708129438468127370e-01 2.511851912791439045e-01 2.649231082009303240e+00
8.808638387548145543e-01 2.602295376411755679e-01 2.753271174691764411e+00
8.709778896349860133e-01 2.601171400393456623e-01 2.810025089913100071e+00
8.615340975892629150e-01 2.891450619570106739e-01 2.780882688699402916e+00
8.418976102769417658e-01 2.889808779230474967e-01 2.776113854340206188e+00
8.415720068642140728e-01 2.687513438013678924e-01 2.914622197917403845e+00
8.612620541816442543e-01 2.689558673040445269e-01 2.886589633430745927e+00
8.517093437242716503e-01 2.890612532187825101e-01 2.775101305075398539e+00
8.417546176113382961e-01 2.788601276067675383e-01 2.862431830294713819e+00
8.514112913679432459e-01 2.688520394514809508e-01 2.899344980332589916e+00
8.614145232545402653e-01 2.790449720325497429e-01 2.857403284222876039e+00
