x y mesh_s
2.048501937154282582e-01 2.832031549055071262e-01 9.999999999999995559e-01
2.045009038097529985e-01 2.707383664691261349e-01 1.000000000000000000e+00
2.101755533444155111e-01 2.652963010372120234e-01 1.000000000000000000e+00
2.157963437215232594e-01 2.707474142567448672e-01 1.000000000000000000e+00
2.073381866404827023e-01 2.680806567054555001e-01 1.000000000000000444e+00
2.129860143792338678e-01 2.679378269679908442e-01 9.999999999999997780e-01
2.101487386360404719e-01 2.707424664460315045e-01 9.999999999999995559e-01
2.101755533444155111e-01 2.652963010372120234e-01 1.000000000000000000e+00
2.158507290481884444e-01 2.590857088522964258e-01 1.000000000000000000e+00
2.214710903710614409e-01 2.643545749881960893e-01 1.000000000000000000e+00
2.130130524994630625e-01 2.623207300351323434e-01 1.000000000000000444e+00
2.186609757338464355e-01 2.616153298496629032e-01 9.999999999999997780e-01
2.158234043423667980e-01 2.649191387234431927e-01 9.999999999999995559e-01
2.158507290481884444e-01 2.590857088522964258e-01 1.000000000000000000e+00
2.179159778782446544e-01 2.526984658041261378e-01 1.000000000000000000e+00
2.235362180981268487e-01 2.574357757633328747e-01 1.000000000000000000e+00
2.168832734206186941e-01 2.559466401581281247e-01 1.000000000000000444e+00
2.207261624883801454e-01 2.549720707977671807e-01 9.999999999999997780e-01
2.196934861865173505e-01 2.583561444773494475e-01 9.999999999999995559e-01
2.179159778782446544e-01 2.526984658041261378e-01 1.000000000000000000e+00
2.199819526115602830e-01 2.458336299321809137e-01 1.000000000000000000e+00
2.256020659679852935e-01 2.499009950128942004e-01 1.000000000000000000e+00
2.189488633608434598e-01 2.493309943127405837e-01 1.000000000000000444e+00
2.227920499098521023e-01 2.477850294246560781e-01 9.999999999999997780e-01
2.217590127173187098e-01 2.514521858365950102e-01 9.999999999999995559e-01
1.907809261223736008e-01 3.452210345075162334e-01 1.000000000000000000e+00
2.028766464911487821e-01 3.652986833169230008e-01 1.000000000000000000e+00
1.892679939399531386e-01 3.675796496269041480e-01 1.000000000000000000e+00
1.968285547109070166e-01 3.552607802306125273e-01 1.000000000000000444e+00
1.960723926782104443e-01 3.664388636893954332e-01 9.999999999999997780e-01
1.900243200002909583e-01 3.564009275521617393e-01 9.999999999999995559e-01
1.907809261223736008e-01 3.452210345075162334e-01 1.000000000000000000e+00
1.922952324185719930e-01 3.228567502674057343e-01 1.000000000000000000e+00
2.043889591597622957e-01 3.429424280343321141e-01 1.000000000000000000e+00
1.915378758554756311e-01 3.340397158008650003e-01 1.000000000000000444e+00
1.983418979146605310e-01 3.329003414484034140e-01 9.999999999999997780e-01
1.975850320917467706e-01 3.440813654925999332e-01 9.999999999999995559e-01
1.862954912771332683e-01 3.103977650128078025e-01 1.000000000000000000e+00
1.922952324185719930e-01 3.228567502674057343e-01 1.000000000000000000e+00
1.999037253819848092e-01 3.081180367377809870e-01 1.000000000000000000e+00
1.892953071832898793e-01 3.166274597326722007e-01 1.000000000000000444e+00
1.960993955671642419e-01 3.154877416173693105e-01 9.999999999999997780e-01
1.930996970262152668e-01 3.092575606639471064e-01 9.999999999999995559e-01
1.939049295124582462e-01 2.956553721390327572e-01 1.000000000000000000e+00
1.999037253819848092e-01 3.081180367377809870e-01 1.000000000000000000e+00
2.052003221001540423e-01 2.956648353515978767e-01 1.000000000000000000e+00
1.969042790099557461e-01 3.018868756763590233e-01 1.000000000000000444e+00
2.025519281053457243e-01 3.018918177783233014e-01 9.999999999999997780e-01
1.995527019896569387e-01 2.956598108187650231e-01 9.999999999999995559e-01
1.992024200674701317e-01 2.831987784010618348e-01 1.000000000000000000e+00
2.052003221001540423e-01 2.956648353515978767e-01 1.000000000000000000e+00
2.104977869210152563e-01 2.832082103316558852e-01 1.000000000000000000e+00
2.022013322140740754e-01 2.894319353371521131e-01 1.000000000000000444e+00
2.078489315297695483e-01 2.894369991429254219e-01 9.999999999999997780e-01
2.048501937154282582e-01 2.832031549055071262e-01 9.999999999999995559e-01
2.045009038097529985e-01 2.707383664691261349e-01 1.000000000000000000e+00
2.104977869210152563e-01 2.832082103316558852e-01 1.000000000000000000e+00
2.157963437215232594e-01 2.707474142567448672e-01 1.000000000000000000e+00
2.074993232647301400e-01 2.769733527382393090e-01 1.000000000000000444e+00
2.131469207670464161e-01 2.769783544679266241e-01 9.999999999999997780e-01
2.101487386360404719e-01 2.707424664460315045e-01 9.999999999999995559e-01
2.101755533444155111e-01 2.652963010372120234e-01 1.000000000000000000e+00
2.157963437215232594e-01 2.707474142567448672e-01 1.000000000000000000e+00
2.214710903710614409e-01 2.643545749881960893e-01 1.000000000000000000e+00
2.129860143792340343e-01 2.679378269679910107e-01 1.000000000000000444e+00
2.186336354801153292e-01 2.677067330244113363e-01 9.999999999999997780e-01
