x y mesh_f
3.147616182542374852e-01 2.100000036161675243e-01 1.000000000000000000e+00
3.540893051940688929e-01 2.589216061639046940e-01 1.000000000000000000e+00
3.084237035316901299e-01 2.276350470729303077e-01 1.000000000000000444e+00
3.344254534821088920e-01 2.344607987841170194e-01 9.999999999999997780e-01
3.280875738112611351e-01 2.520958679415866710e-01 9.999999999999995559e-01
3.020857839594224825e-01 2.452700867301071119e-01 1.000000000000000000e+00
2.897572302843854919e-01 2.099999984972338585e-01 1.000000000000000000e+00
2.707107236527254157e-01 2.355150746595978950e-01 1.000000000000000000e+00
2.959215292588448509e-01 2.276350587992627683e-01 1.000000000000000444e+00
2.802339557853524843e-01 2.227575204166454270e-01 9.999999999999997780e-01
2.863982554062786678e-01 2.403925809984508444e-01 9.999999999999995559e-01
2.897572302843854919e-01 2.099999984972338585e-01 1.000000000000000000e+00
2.707107236527254157e-01 2.355150746595978950e-01 1.000000000000000000e+00
2.707106690509162861e-01 2.099999934568456961e-01 1.000000000000000000e+00
2.802339557853525953e-01 2.227575204166455658e-01 1.000000000000000444e+00
2.707106802272505885e-01 2.227575214186588437e-01 9.999999999999997780e-01
2.802339551211330271e-01 2.099999997039234401e-01 9.999999999999995559e-01
2.524741078060323551e-01 2.100000004491326122e-01 1.000000000000000000e+00
2.707107236527254157e-01 2.355150746595978950e-01 1.000000000000000000e+00
2.707106690509162861e-01 2.099999934568456961e-01 1.000000000000000000e+00
2.615923937764645935e-01 2.227575207977851024e-01 1.000000000000000444e+00
2.707106802272505885e-01 2.227575214186588437e-01 9.999999999999997780e-01
2.615923925879504175e-01 2.099999997855682143e-01 9.999999999999995559e-01
2.524741078060323551e-01 2.100000004491326122e-01 1.000000000000000000e+00
2.707107236527254157e-01 2.355150746595978950e-01 1.000000000000000000e+00
2.353552885192272959e-01 2.353553028503749256e-01 1.000000000000000000e+00
2.615923937764645935e-01 2.227575207977851024e-01 1.000000000000000444e+00
2.530330094973555211e-01 2.354351896938182698e-01 9.999999999999997780e-01
2.439147204599143304e-01 2.226776676542577271e-01 9.999999999999995559e-01
2.524741078060323551e-01 2.100000004491326122e-01 1.000000000000000000e+00
2.353553502331003633e-01 2.100000083634238346e-01 1.000000000000000000e+00
2.353552885192272959e-01 2.353553028503749256e-01 1.000000000000000000e+00
2.439147231861892584e-01 2.100000000287840785e-01 1.000000000000000444e+00
2.353553366515487022e-01 2.226776677462736220e-01 9.999999999999997780e-01
