x y p
1.287204836078441161e+00 1.276143918598129645e-01 -2.378255600838026567e+02
1.296145567051804948e+00 1.404010253490652338e-01 -1.903662685303025057e+02
1.280907409327056046e+00 1.403971375902532959e-01 -2.394420280873985689e+02
1.200690871206537169e+00 2.551256820032250447e-02 -2.828159755441779453e+02
1.231325905266395404e+00 2.551117013777461778e-02 -2.876828696428142393e+02
1.218527771992943043e+00 5.102066147764430099e-02 -3.222748019845730596e+02
1.216008154034072142e+00 2.551179366467857743e-02 -2.910136362911064793e+02
1.224924225482973084e+00 3.826588806146647564e-02 -3.041418276021245788e+02
1.209606016116891336e+00 3.826720108813819188e-02 -3.029504996042914513e+02
1.182883017884372556e+00 0.000000000000000000e+00 -2.501691857935307723e+02
1.213513645375433381e+00 0.000000000000000000e+00 -2.794901842895218351e+02
1.200690871206537169e+00 2.551256820032250447e-02 -2.828159755441779453e+02
1.198198331629902968e+00 0.000000000000000000e+00 -2.703122384278752293e+02
1.207099272490413711e+00 1.275650346035601089e-02 -2.790009438956421377e+02
1.191782938412723647e+00 1.275680821854174168e-02 -2.645614503537880751e+02
1.235860270025486596e+00 4.099999999999999756e-01 1.172077844303544403e+01
1.206461671653986212e+00 4.099999999999999756e-01 1.195729100601852002e+00
1.217299775540815698e+00 3.842286604788687221e-01 8.890064052184495580e+00
1.221160970839736404e+00 4.099999999999999756e-01 7.966819897567099851e+00
1.211879572699477103e+00 3.971138140264428573e-01 4.425990134234717210e+00
1.226579994804706697e+00 3.971137404613808708e-01 1.001323204787895804e+01
1.246702607412759178e+00 3.842281514398456777e-01 1.517054794623700431e+01
1.217299775540815698e+00 3.842286604788687221e-01 8.890064052184495580e+00
1.228149060852572916e+00 3.584611651737052984e-01 1.750136698152615367e+01
1.232001381317437749e+00 3.842283509366669070e-01 1.316453942475724048e+01
1.222722803731374430e+00 3.713444786671734055e-01 1.376233578268612767e+01
1.237425572422781839e+00 3.713438154638843414e-01 1.675488344290669929e+01
1.228149060852572916e+00 3.584611651737052984e-01 1.750136698152615367e+01
1.257556135455420332e+00 3.584593275411337432e-01 2.230138191121277913e+01
1.239012364326251170e+00 3.326966369910916987e-01 2.352484547191913222e+01
1.242852915184947671e+00 3.584600759696830452e-01 2.044663851723535331e+01
1.248283671984701249e+00 3.455770501952644680e-01 2.409607176679453389e+01
1.233578844998004742e+00 3.455785948164224464e-01 2.083280656463739433e+01
1.268422962077446092e+00 3.326932556996139989e-01 3.512048691871820694e+01
1.239012364326251170e+00 3.326966369910916987e-01 2.352484547191913222e+01
1.249891086131924345e+00 3.069340765922211056e-01 3.558846660708862686e+01
1.253718032335864541e+00 3.326946457856256867e-01 2.978303057381536334e+01
