x y solution_f
2.270900111338990390e-01 2.707368112591497233e-01 3.925600401994983280e+00
2.186340362503390033e-01 2.675537672961370017e-01 3.840495919091222898e+00
2.242807724620891896e-01 2.675539924064513908e-01 3.577836718162860308e+00
2.214432749221488250e-01 2.707365861488353342e-01 4.050733815235552981e+00
2.214715337902793402e-01 2.643711735537530583e-01 3.088218526814867193e+00
2.235366942147028468e-01 2.575058971457887536e-01 1.098087396077942701e+00
2.291567515980735825e-01 2.630328938519976290e-01 2.426936234348190613e+00
2.225041140024910935e-01 2.609385353497709059e-01 2.109763010679551076e+00
2.263467229063882147e-01 2.602693954988931635e-01 1.714071755874115421e+00
2.253141426941764613e-01 2.637020337028753714e-01 2.766552602149721540e+00
2.235366942147028468e-01 2.575058971457887536e-01 1.098087396077942701e+00
2.256057364136114241e-01 2.500929016667426397e-01 8.358551770434990980e-02
2.312237276111474560e-01 2.545053553693285564e-01 4.783560195602917786e-01
2.245712153141571354e-01 2.537993994062657244e-01 3.558688927712229111e-01
2.284147320123794400e-01 2.522991285180355980e-01 1.723809084415099946e-01
2.273802109129251514e-01 2.560056262575586272e-01 7.618781505030202128e-01
2.256057364136114241e-01 2.500929016667426397e-01 8.358551770434990980e-02
2.276594286635908460e-01 2.419209366184890686e-01 -1.755431079758503843e-04
2.332838260359779148e-01 2.450963373462973771e-01 1.845293996027407291e-01
2.266325825386011350e-01 2.460069191426158541e-01 1.305455451917090226e-01
2.304716273497843804e-01 2.435086369823932229e-01 1.415909367823521003e-01
2.294447812247946694e-01 2.475946195065200084e-01 1.409313729115234948e-01
2.028726108711706722e-01 3.652915168978345672e-01 2.250380686106436379e+00
2.176192379426691303e-01 3.674516159728846709e-01 2.296295950294447330e+00
2.013631869526588125e-01 3.876467150369138914e-01 1.645443625481892047e+00
2.102459244069199151e-01 3.663715664353596191e-01 2.274648983854770101e+00
2.094912124476639714e-01 3.775491655048992534e-01 1.985392182554712504e+00
2.021178989119147285e-01 3.764691159673742016e-01 1.962542263032008183e+00
2.028726108711706722e-01 3.652915168978345672e-01 2.250380686106436379e+00
2.043844522092491400e-01 3.429308790841882337e-01 2.794744850355079357e+00
2.191275271997807084e-01 3.450991383718575167e-01 2.843491774235110903e+00
2.036285315402099061e-01 3.541111979910114282e-01 2.527300421513856143e+00
2.117559897045149242e-01 3.440150087280228752e-01 2.820898050709317317e+00
2.110000690354756903e-01 3.551953276348460697e-01 2.552563194495661936e+00
2.043844522092491400e-01 3.429308790841882337e-01 2.794744850355079357e+00
2.058999410443845268e-01 3.205620366732869209e-01 3.301853374228683968e+00
2.206415957361532176e-01 3.227333771187954614e-01 3.350402240356756156e+00
2.051421966268168195e-01 3.317464578787375773e-01 3.052894780580905465e+00
2.132707683902688722e-01 3.216477068960411634e-01 3.328631494394874935e+00
2.125130239727011650e-01 3.328321281014918753e-01 3.079695470392444179e+00
1.999034086840252855e-01 3.080981451541364158e-01 3.518570638441130161e+00
2.058999410443845268e-01 3.205620366732869209e-01 3.301853374228683968e+00
2.111956396362184296e-01 3.081108459472690075e-01 3.597655658132063561e+00
2.029016748642049062e-01 3.143300909137116683e-01 3.411894213769596007e+00
2.085477903403014643e-01 3.143364413102779364e-01 3.451874225960876341e+00
2.055495241601218437e-01 3.081044955507027394e-01 3.560310678448740607e+00
